S/No,Longitude,Latitude,Y1517,Y1921,Y2325
396,30.02638,-1.79652,0.18612,0.02402,0.02799
397,30.04057,-1.82423,0.08104,0.04061,-0.28563
398,30.02769,-1.78663,0.19885,0.01728,0.22131
399,30.03554,-1.78460,0.18845,0.03351,0.16191
400,30.04163,-1.82326,0.07601,0.08638,-0.34345
401,29.97980,-1.82859,0.04832,0.02680,-0.57875
402,29.96896,-1.81452,0.14755,-0.01189,-0.51482
403,29.99909,-1.84047,0.03004,0.04894,-0.38582
404,29.98192,-1.82736,0.03711,0.03543,-0.48794
405,29.98832,-1.80416,0.22528,0.00697,-0.25057
406,30.00280,-1.79284,0.21791,0.03701,-0.45134
407,29.97425,-1.82028,0.10361,-0.03463,-0.41305
408,29.98908,-1.80779,0.18847,-0.03322,-0.34092
409,29.99144,-1.80471,0.18013,-0.01413,0.01842
410,29.98110,-1.82560,0.03194,0.00871,-0.22119
411,30.00160,-1.83659,0.01175,0.05846,-0.42014
412,29.98393,-1.81731,0.11369,0.01327,-0.19547
413,29.98918,-1.81249,0.14017,-0.01486,-0.33980
414,29.97821,-1.82295,0.08719,0.03116,-0.10942
415,29.96371,-1.80846,0.12009,-0.01909,-0.67306
416,29.99009,-1.83120,0.08283,-0.00034,-0.48714
417,29.98614,-1.83190,0.06177,-0.02751,-0.52163
418,29.97971,-1.84192,0.00151,-0.01627,0.31850
419,30.00196,-1.81136,0.12494,0.00860,-0.23850
420,29.99990,-1.78460,0.26169,0.02057,-0.39246
421,30.00307,-1.80920,0.17805,0.06250,-0.17299
422,29.97448,-1.82928,0.03371,0.03485,-0.50676
423,29.97188,-1.80818,0.14709,0.02741,-0.07356
424,29.98017,-1.82238,0.08667,0.01556,-0.22449
425,30.00997,-1.79843,0.19896,-0.01398,-0.19478
426,29.97712,-1.83918,0.02147,0.04346,0.28381
427,29.99832,-1.78410,0.25137,0.03731,-0.28520
428,30.00450,-1.82561,0.04406,0.05296,-0.54811
429,30.01307,-1.79891,0.21645,0.00928,-0.45837
430,29.99291,-1.81741,0.11606,0.00614,-0.30165
431,29.97828,-1.82756,0.05195,0.02735,-0.59439
432,30.00545,-1.81664,0.12442,0.04661,-0.39737
433,29.98528,-1.82258,0.06644,-0.03097,-0.35929
434,29.99759,-1.83282,0.04392,0.07118,-0.43896
435,30.00039,-1.81216,0.11345,0.03762,-0.39456
436,29.99027,-1.82532,0.06814,0.01549,-0.21864
437,29.97280,-1.83644,0.01601,0.06352,0.28646
438,29.98797,-1.81593,0.16076,0.00677,-0.18474
439,30.00720,-1.79727,0.17740,-0.00145,-0.34329
440,29.99465,-1.80836,0.14980,-0.03229,-0.13456
441,29.97948,-1.83553,0.03585,0.01064,-0.72331
442,29.99035,-1.83482,0.03165,0.00318,-0.55574
443,29.97616,-1.83777,0.01151,0.04363,0.29877
444,30.01413,-1.83479,0.04299,0.00114,-0.88498
445,29.95939,-1.79238,0.19372,-0.02960,0.09726
446,30.01096,-1.80883,0.15216,0.04306,-0.18728
447,29.99992,-1.82883,0.09091,0.07021,-0.48592
448,30.00097,-1.80498,0.15431,0.09307,-0.52391
449,29.97614,-1.80782,0.17316,0.01389,-0.31574
450,29.99089,-1.81147,0.16437,-0.01097,-0.16771
